YEAR,TOTAL_POPULATION
2025,1445011620
2024,1432456478
2023,1419655806
2022,1406631776
2021,1393409038
2020,1380004385
2019,1366417754
2018,1352642280
2017,1338676785
2016,1324517249
2015,1310152403
2014,1295600772
2013,1280842125
2012,1265780247
2011,1250287943
2010,1234281170
2009,1217726215
2008,1200669765
2007,1183209472
2006,1165486291
2005,1147609927
2004,1129623456
2003,1111523144
2002,1093317189
2001,1075000085
2000,1056575549
1999,1038058156
1998,1019483581
1997,1000900030
1996,982365243
1995,963922588
1994,945601831
1993,927403860
1992,909307016
1991,891273209
1990,873277798
1989,855334678
1988,837468930
1987,819682102
1986,801975244
1985,784360008
1984,766833410
1983,749428958
1982,732239504
1981,715384993
1980,698952844
1979,682995354
1978,667499806
1977,652408776
1976,637630087
1975,623102897
1974,608802600
1973,594770134
1972,581087256
1971,567868018
1970,555189792
1969,543084336
1968,531513824
1967,520400576
1966,509631500
1965,499123324
1964,488848135
1963,478825608
1962,469077190
1961,459642165
1960,450547679
1959,441798578
1958,433380978
1957,425270695
1956,417442811
1955,409880595
1954,402578596
1953,395544369
1952,388799073
1951,382376948
1950,376325200
